model,target,weight
sarima,1,0.2583043596381898
kcde,1,0.7372868639631238
kde,1,0.004408776398687908
sarima,2,0.40893654608115715
kcde,2,0.578209310775409
kde,2,0.01285414314343473
sarima,3,0.5154669934483292
kcde,3,0.4310253976260631
kde,3,0.05350760892560891
sarima,4,0.4412956185383644
kcde,4,0.22906001667432457
kde,4,0.3296443647873117
sarima,peak,0.3037959150073144
kcde,peak,0.2624705088108038
kde,peak,0.4337335761818813
sarima,peak_wk,0.658925768075389
kcde,peak_wk,0.33064854420319084
kde,peak_wk,0.010425687721420884
sarima,onset_wk,0.331953078148473
kcde,onset_wk,0.1820210693708718
kde,onset_wk,0.48602585248065305
