model,region,target,weight
sarima,nat,1,0.7086208896698911
kcde,nat,1,0.2835312493791765
kde,nat,1,0.007847860950931802
sarima,hhs1,1,0.16223256098515984
kcde,hhs1,1,0.8377674274439363
kde,hhs1,1,1.1570904272578988e-08
sarima,hhs2,1,4.542428444074947e-05
kcde,hhs2,1,0.999954575715559
kde,hhs2,1,1.9045755101120706e-41
sarima,hhs3,1,0.00018426469814709288
kcde,hhs3,1,0.9620517601452307
kde,hhs3,1,0.03776397515662217
sarima,hhs4,1,0.5411198671093203
kcde,hhs4,1,0.4444537534866871
kde,hhs4,1,0.014426379403993387
sarima,hhs5,1,0.32685356962522333
kcde,hhs5,1,0.673146103068368
kde,hhs5,1,3.2730640870995086e-07
sarima,hhs6,1,1.5178238914420282e-05
kcde,hhs6,1,0.9999848217610858
kde,hhs6,1,1.4183357050133037e-43
sarima,hhs7,1,0.30791668530205324
kcde,hhs7,1,0.6920642715804045
kde,hhs7,1,1.9043117542433862e-05
sarima,hhs8,1,0.0066308696607066805
kcde,hhs8,1,0.9933691303392937
kde,hhs8,1,1.915692998553005e-36
sarima,hhs9,1,0.2584674035427485
kcde,hhs9,1,0.7374193708753509
kde,hhs9,1,0.004113225581901091
sarima,hhs10,1,0.05703521206703078
kcde,hhs10,1,0.924212621245159
kde,hhs10,1,0.018752166687809737
sarima,all,1,0.2583043596381898
kcde,all,1,0.7372868639631238
kde,all,1,0.004408776398687908
sarima,nat,2,0.7157960381476807
kcde,nat,2,0.236138150772709
kde,nat,2,0.04806581107961062
sarima,hhs1,2,0.382621922956553
kcde,hhs1,2,0.6173772615292072
kde,hhs1,2,8.155142392381923e-07
sarima,hhs2,2,0.0005382034539954981
kcde,hhs2,2,0.9994617965460043
kde,hhs2,2,1.9928008351629926e-32
sarima,hhs3,2,0.015223132640843762
kcde,hhs3,2,0.8666798401683069
kde,hhs3,2,0.11809702719084852
sarima,hhs4,2,0.6017422680854412
kcde,hhs4,2,0.36634542675567977
kde,hhs4,2,0.03191230515887882
sarima,hhs5,2,0.5821388509371231
kcde,hhs5,2,0.3889582246050935
kde,hhs5,2,0.028902924457783655
sarima,hhs6,2,0.35633939048608004
kcde,hhs6,2,0.6436606095060833
kde,hhs6,2,7.836796013241416e-12
sarima,hhs7,2,0.43096705907914346
kcde,hhs7,2,0.5415321013615051
kde,hhs7,2,0.027500839559351082
sarima,hhs8,2,0.2740461014067873
kcde,hhs8,2,0.7259537626688359
kde,hhs8,2,1.3592437636389907e-07
sarima,hhs9,2,0.40933511914812865
kcde,hhs9,2,0.5906573434563835
kde,hhs9,2,7.537395488592952e-06
sarima,hhs10,2,0.04669185727095332
kcde,hhs10,2,0.9511018380201719
kde,hhs10,2,0.002206304708874886
sarima,all,2,0.40893654608115715
kcde,all,2,0.578209310775409
kde,all,2,0.01285414314343473
sarima,nat,3,0.7412996336043447
kcde,nat,3,0.1407621729638916
kde,nat,3,0.11793819343176401
sarima,hhs1,3,0.5328268882740876
kcde,hhs1,3,0.46716992696016935
kde,hhs1,3,3.184765744281195e-06
sarima,hhs2,3,0.27379809535143546
kcde,hhs2,3,0.7260385701010542
kde,hhs2,3,0.00016333454751005664
sarima,hhs3,3,4.062556034436236e-06
kcde,hhs3,3,0.6015818792154738
kde,hhs3,3,0.39841405822849113
sarima,hhs4,3,0.6466583089792904
kcde,hhs4,3,0.1334062391710784
kde,hhs4,3,0.21993545184963076
sarima,hhs5,3,0.6291855029081972
kcde,hhs5,3,0.29480517677468826
kde,hhs5,3,0.0760093203171143
sarima,hhs6,3,0.564442813638765
kcde,hhs6,3,0.4355564155117345
kde,hhs6,3,7.708495007448246e-07
sarima,hhs7,3,0.4080364072658784
kcde,hhs7,3,0.47516168298148004
kde,hhs7,3,0.11680190975264151
sarima,hhs8,3,0.5156745124687383
kcde,hhs8,3,0.4842885951341424
kde,hhs8,3,3.689239711980468e-05
sarima,hhs9,3,0.48826918244891
kcde,hhs9,3,0.4898829744980491
kde,hhs9,3,0.021847843053040262
sarima,hhs10,3,0.13930991168343684
kcde,hhs10,3,0.7040590066931166
kde,hhs10,3,0.15663108162344658
sarima,all,3,0.5154669934483292
kcde,all,3,0.4310253976260631
kde,all,3,0.05350760892560891
sarima,nat,4,0.6113291623514243
kcde,nat,4,0.05229883879281057
kde,nat,4,0.3363719988557652
sarima,hhs1,4,0.5406155221020786
kcde,hhs1,4,0.424658151883909
kde,hhs1,4,0.03472632601401317
sarima,hhs2,4,0.1924182822997838
kcde,hhs2,4,0.5149477545635852
kde,hhs2,4,0.29263396313663126
sarima,hhs3,4,1.7448206519392302e-06
kcde,hhs3,4,0.36915251425025264
kde,hhs3,4,0.6308457409290952
sarima,hhs4,4,0.488233753070902
kcde,hhs4,4,0.002056025522780873
kde,hhs4,4,0.5097102214063177
sarima,hhs5,4,0.4926617436394367
kcde,hhs5,4,0.20162545843756352
kde,hhs5,4,0.3057127979230003
sarima,hhs6,4,0.7675756451734211
kcde,hhs6,4,0.23241939778739662
kde,hhs6,4,4.957039182639487e-06
sarima,hhs7,4,0.41744559626286026
kcde,hhs7,4,0.17484914994910497
kde,hhs7,4,0.4077052537880346
sarima,hhs8,4,0.5588929142729898
kcde,hhs8,4,0.28512870233231596
kde,hhs8,4,0.15597838339469447
sarima,hhs9,4,0.4565485759892547
kcde,hhs9,4,0.3059508527304842
kde,hhs9,4,0.2375005712802616
sarima,hhs10,4,0.1249656275345276
kcde,hhs10,4,0.4108577380261178
kde,hhs10,4,0.4641766344393547
sarima,all,4,0.4412956185383644
kcde,all,4,0.22906001667432457
kde,all,4,0.3296443647873117
sarima,nat,peak,0.536238131196214
kcde,nat,peak,0.05364090585352925
kde,nat,peak,0.41012096295025613
sarima,hhs1,peak,0.5792390195787598
kcde,hhs1,peak,0.289740017686341
kde,hhs1,peak,0.1310209627348994
sarima,hhs2,peak,0.3120861002979995
kcde,hhs2,peak,0.19157351949360965
kde,hhs2,peak,0.4963403802083908
sarima,hhs3,peak,0.02743831887470875
kcde,hhs3,peak,0.5573039192165782
kde,hhs3,peak,0.4152577619087134
sarima,hhs4,peak,0.4603027921795284
kcde,hhs4,peak,0.00013366803537306587
kde,hhs4,peak,0.5395635397850996
sarima,hhs5,peak,4.142635535082967e-05
kcde,hhs5,peak,0.7840149036284412
kde,hhs5,peak,0.21594367001620748
sarima,hhs6,peak,0.06111011666543759
kcde,hhs6,peak,0.2325988564938713
kde,hhs6,peak,0.706291026840691
sarima,hhs7,peak,0.6092918879277741
kcde,hhs7,peak,9.714289459724485e-06
kde,hhs7,peak,0.3906983977827664
sarima,hhs8,peak,0.36602501915739283
kcde,hhs8,peak,0.4914611217724846
kde,hhs8,peak,0.1425138590701224
sarima,hhs9,peak,0.09882879884214896
kcde,hhs9,peak,0.00012468870714994043
kde,hhs9,peak,0.9010465124507012
sarima,hhs10,peak,7.848449618696229e-05
kcde,hhs10,peak,0.42110995666648315
kde,hhs10,peak,0.5788115588373298
