model,region,target,weight
sarima,all,peak,0.3037959150073144
kcde,all,peak,0.2624705088108038
kde,all,peak,0.4337335761818813
sarima,nat,peak_wk,0.9448961223671368
kcde,nat,peak_wk,0.013158262534809907
kde,nat,peak_wk,0.041945615098053494
sarima,hhs1,peak_wk,0.8280575112177754
kcde,hhs1,peak_wk,0.17194112626609226
kde,hhs1,peak_wk,1.3625161323330355e-06
sarima,hhs2,peak_wk,0.6832982567075689
kcde,hhs2,peak_wk,0.2468718295217955
kde,hhs2,peak_wk,0.06982991377063524
sarima,hhs3,peak_wk,0.06557860367625672
kcde,hhs3,peak_wk,0.9045611698513492
kde,hhs3,peak_wk,0.029860226472393826
sarima,hhs4,peak_wk,0.999907866744987
kcde,hhs4,peak_wk,9.213325501337548e-05
kde,hhs4,peak_wk,1.0311684263765533e-71
sarima,hhs5,peak_wk,0.6612149089754517
kcde,hhs5,peak_wk,0.1255849393678134
kde,hhs5,peak_wk,0.21320015165673528
sarima,hhs6,peak_wk,0.8039826580652365
kcde,hhs6,peak_wk,0.19601734175346278
kde,hhs6,peak_wk,1.8130087754840768e-10
sarima,hhs7,peak_wk,0.650079452209378
kcde,hhs7,peak_wk,0.31353756197651
kde,hhs7,peak_wk,0.036382985814111646
sarima,hhs8,peak_wk,0.6753866822613588
kcde,hhs8,peak_wk,0.32461331773861546
kde,hhs8,peak_wk,2.516505477119093e-14
sarima,hhs9,peak_wk,0.47836585243275537
kcde,hhs9,peak_wk,0.5216341184366525
kde,hhs9,peak_wk,2.9130592383713486e-08
sarima,hhs10,peak_wk,3.1135930191226304e-05
kcde,hhs10,peak_wk,0.9999688640695189
kde,hhs10,peak_wk,2.893435034420198e-13
sarima,all,peak_wk,0.658925768075389
kcde,all,peak_wk,0.33064854420319084
kde,all,peak_wk,0.010425687721420884
sarima,nat,onset_wk,0.4234600115137894
kcde,nat,onset_wk,0.33107164194282196
kde,nat,onset_wk,0.24546834654338698
sarima,hhs1,onset_wk,0.44347833724234864
kcde,hhs1,onset_wk,0.0006141513635307269
kde,hhs1,onset_wk,0.5559075113941194
sarima,hhs2,onset_wk,0.12475081303305899
kcde,hhs2,onset_wk,0.42752624210509194
kde,hhs2,onset_wk,0.44772294486185044
sarima,hhs3,onset_wk,0.24490296923710675
kcde,hhs3,onset_wk,0.04084775828436354
kde,hhs3,onset_wk,0.7142492724785287
sarima,hhs4,onset_wk,0.1922910884025879
kcde,hhs4,onset_wk,0.13841966302976896
kde,hhs4,onset_wk,0.6692892485676447
sarima,hhs5,onset_wk,0.273210645878618
kcde,hhs5,onset_wk,3.464882614045296e-05
kde,hhs5,onset_wk,0.7267547052952403
sarima,hhs6,onset_wk,0.9995244885727863
kcde,hhs6,onset_wk,0.00047551142721172706
kde,hhs6,onset_wk,2.0812820971831042e-113
sarima,hhs7,onset_wk,0.39085789383655684
kcde,hhs7,onset_wk,0.2898687118331405
kde,hhs7,onset_wk,0.31927339433030233
sarima,hhs8,onset_wk,0.4392432116054192
kcde,hhs8,onset_wk,0.3852105236589964
kde,hhs8,onset_wk,0.17554626473558524
sarima,hhs9,onset_wk,0.20534802540776464
kcde,hhs9,onset_wk,0.22438061559085618
kde,hhs9,onset_wk,0.570271359001379
sarima,hhs10,onset_wk,0.00038698304996473133
kcde,hhs10,onset_wk,0.34373058935431244
kde,hhs10,onset_wk,0.6558824275957226
sarima,all,onset_wk,0.331953078148473
kcde,all,onset_wk,0.1820210693708718
kde,all,onset_wk,0.48602585248065305
