model,target,weight
CU-EKF_SEIRS,1,0.04795200188406991
CU-EKF_SIRS,1,0.04795200188406991
Delphi-DeltaDensity2,1,0.030816558521002353
CU-BMA,1,1.5746080805513507e-07
CU-EAKFC_SEIRS,1,0.04795200188406991
ReichLab-KDE,1,6.8956643093305695e-46
ReichLab-SARIMA1,1,3.1650973638376174e-07
Delphi-BasisRegression,1,0.09126848133253726
Delphi-DeltaDensity1,1,0.2245561139630147
CU-RHF_SIRS,1,0.04795200188406991
CU-EAKFC_SIRS,1,0.04795200188406991
Delphi-Uniform,1,1.705704612272692e-144
ReichLab-SARIMA2,1,0.008334154784596435
Delphi-Stat,1,2.12801129914794e-05
Delphi-EmpiricalBayes1,1,0.04837306798301057
Delphi-EmpiricalFuture,1,7.722097897284964e-69
Delphi-EmpiricalBayes2,1,1.9808390134560898e-10
ReichLab-KCDE,1,0.3089178578297912
LANL-DBM,1,8.625240387320275e-15
CU-RHF_SEIRS,1,0.04795200188406991
Delphi-EmpiricalTraj,1,7.722097897284964e-69
CU-EKF_SEIRS,2,0.21571232728480702
CU-EKF_SIRS,2,0.21965404299924082
Delphi-DeltaDensity2,2,0.002456962124420095
CU-BMA,2,3.3919618165128814e-16
CU-EAKFC_SEIRS,2,0.00016335941396500197
ReichLab-KDE,2,3.425881766362313e-71
ReichLab-SARIMA1,2,1.1661213731861088e-18
Delphi-BasisRegression,2,0.09659451230524135
Delphi-DeltaDensity1,2,0.38282426210349735
CU-RHF_SIRS,2,0.0001891503739628328
CU-EAKFC_SIRS,2,2.2873338231968646e-08
Delphi-Uniform,2,9.614701565275e-312
ReichLab-SARIMA2,2,6.771123638147511e-13
Delphi-Stat,2,1.0570132378924201e-11
Delphi-EmpiricalBayes1,2,0.02615588949707101
Delphi-EmpiricalFuture,2,2.6586353722998618e-126
Delphi-EmpiricalBayes2,2,1.2333549793740023e-06
ReichLab-KCDE,2,0.05624523173557989
LANL-DBM,2,4.162178427172137e-23
CU-RHF_SEIRS,2,3.0059226500159637e-06
Delphi-EmpiricalTraj,2,2.6586353722998618e-126
CU-EKF_SEIRS,3,0.3076786101454559
CU-EKF_SIRS,3,0.03158097728090626
Delphi-DeltaDensity2,3,0.015126044752593245
CU-BMA,3,5.743568410186202e-10
CU-EAKFC_SEIRS,3,2.146249472595308e-07
ReichLab-KDE,3,1.956617466290699e-50
ReichLab-SARIMA1,3,3.1391515929896406e-24
Delphi-BasisRegression,3,0.06428599244125079
Delphi-DeltaDensity1,3,0.4990649151766189
CU-RHF_SIRS,3,1.1167577519009734e-08
CU-EAKFC_SIRS,3,1.5652681844988934e-09
Delphi-Uniform,3,1.9157856866566005e-255
ReichLab-SARIMA2,3,6.240978011050984e-11
Delphi-Stat,3,1.4024906904009667e-09
