model,weight
CU-EKF_SEIRS,0.14412571588637066
CU-EKF_SIRS,0.022871936388388286
Delphi-DeltaDensity2,8.27168950164873e-07
CU-BMA,0.011458481428580688
CU-EAKFC_SEIRS,0.044795743296158395
ReichLab-KDE,6.533455924414471e-21
ReichLab-SARIMA1,7.466848195611872e-16
Delphi-BasisRegression,0.04921563046529616
Delphi-DeltaDensity1,0.001367923102007722
CU-RHF_SIRS,0.0023313916406152973
CU-EAKFC_SIRS,0.032214652973089564
Delphi-Uniform,3.0277491470814077e-203
ReichLab-SARIMA2,0.054471193249019306
Delphi-Stat,0.003887097212470751
Delphi-EmpiricalBayes1,2.884487075507866e-06
Delphi-EmpiricalFuture,0.013788298186055438
Delphi-EmpiricalBayes2,1.805160227654264e-46
ReichLab-KCDE,0.3698059556132392
LANL-DBM,0.246196676166007
CU-RHF_SEIRS,0.0034655927366753366
Delphi-EmpiricalTraj,1.1725508401451554e-70
