model,region,target,weight
Delphi-EmpiricalBayes2,hhs3,1,1.748955488112121e-36
ReichLab-KCDE,hhs3,1,0.43316609920545623
LANL-DBM,hhs3,1,6.383608780232284e-23
CU-RHF_SEIRS,hhs3,1,0.03195496610939507
Delphi-EmpiricalTraj,hhs3,1,3.4019007480051147e-85
CU-EKF_SEIRS,hhs4,1,0.01445962110598851
CU-EKF_SIRS,hhs4,1,0.01445962110598851
Delphi-DeltaDensity2,hhs4,1,0.14271432775436668
CU-BMA,hhs4,1,7.115237300936288e-40
CU-EAKFC_SEIRS,hhs4,1,0.01445962110598851
ReichLab-KDE,hhs4,1,9.90282810487966e-159
ReichLab-SARIMA1,hhs4,1,0.0001454528039332162
Delphi-BasisRegression,hhs4,1,3.657448168245389e-40
Delphi-DeltaDensity1,hhs4,1,0.028167581614619592
CU-RHF_SIRS,hhs4,1,0.01445962110598851
CU-EAKFC_SIRS,hhs4,1,0.01445962110598851
Delphi-Uniform,hhs4,1,0.0
ReichLab-SARIMA2,hhs4,1,0.4508788082725674
Delphi-Stat,hhs4,1,3.812093689096109e-16
Delphi-EmpiricalBayes1,hhs4,1,1.0164715010590054e-15
Delphi-EmpiricalFuture,hhs4,1,1.3852963837526039e-213
Delphi-EmpiricalBayes2,hhs4,1,3.988077879195038e-105
ReichLab-KCDE,hhs4,1,0.2913361029185809
LANL-DBM,hhs4,1,1.2846735991697891e-61
CU-RHF_SEIRS,hhs4,1,0.01445962110598851
Delphi-EmpiricalTraj,hhs4,1,1.3852963837526039e-213
CU-EKF_SEIRS,hhs5,1,6.718568019263892e-17
CU-EKF_SIRS,hhs5,1,6.718568019263892e-17
Delphi-DeltaDensity2,hhs5,1,7.645984094662677e-07
CU-BMA,hhs5,1,1.7090309002686317e-26
CU-EAKFC_SEIRS,hhs5,1,6.718568019263892e-17
ReichLab-KDE,hhs5,1,8.923727734467954e-106
ReichLab-SARIMA1,hhs5,1,0.32388386070928443
Delphi-BasisRegression,hhs5,1,0.001716668512758658
Delphi-DeltaDensity1,hhs5,1,0.23674342877846205
CU-RHF_SIRS,hhs5,1,6.718568019263892e-17
CU-EAKFC_SIRS,hhs5,1,6.718568019263892e-17
Delphi-Uniform,hhs5,1,0.0
ReichLab-SARIMA2,hhs5,1,0.10277217895328151
Delphi-Stat,hhs5,1,2.0678833880642495e-17
Delphi-EmpiricalBayes1,hhs5,1,3.5279425060725076e-41
Delphi-EmpiricalFuture,hhs5,1,2.2988845847512365e-166
Delphi-EmpiricalBayes2,hhs5,1,3.3062190786213073e-65
ReichLab-KCDE,hhs5,1,0.3348830984478037
LANL-DBM,hhs5,1,6.131677608066022e-44
CU-RHF_SEIRS,hhs5,1,6.718568019263892e-17
Delphi-EmpiricalTraj,hhs5,1,2.2988845847512365e-166
CU-EKF_SEIRS,hhs6,1,0.03287709715263673
CU-EKF_SIRS,hhs6,1,0.03287709715263673
Delphi-DeltaDensity2,hhs6,1,0.25784268018209466
CU-BMA,hhs6,1,9.802468442636371e-48
CU-EAKFC_SEIRS,hhs6,1,0.03287709715263673
ReichLab-KDE,hhs6,1,1.974125842882536e-142
ReichLab-SARIMA1,hhs6,1,3.756644491790997e-51
Delphi-BasisRegression,hhs6,1,1.1495482115724458e-25
Delphi-DeltaDensity1,hhs6,1,0.21439998233263174
CU-RHF_SIRS,hhs6,1,0.03287709715263673
CU-EAKFC_SIRS,hhs6,1,0.03287709715263673
Delphi-Uniform,hhs6,1,5.227415643937075e-181
ReichLab-SARIMA2,hhs6,1,1.1900665083673e-46
Delphi-Stat,hhs6,1,1.4608027335550142e-09
Delphi-EmpiricalBayes1,hhs6,1,0.3302706814950316
Delphi-EmpiricalFuture,hhs6,1,1.980438516000709e-116
Delphi-EmpiricalBayes2,hhs6,1,4.194679861159308e-20
ReichLab-KCDE,hhs6,1,0.00022407161361874057
LANL-DBM,hhs6,1,3.736279363462787e-49
CU-RHF_SEIRS,hhs6,1,0.03287709715263673
Delphi-EmpiricalTraj,hhs6,1,1.980438516000709e-116
CU-EKF_SEIRS,hhs7,1,0.012260437047680829
CU-EKF_SIRS,hhs7,1,0.012260437047680829
Delphi-DeltaDensity2,hhs7,1,6.465952821467112e-05
CU-BMA,hhs7,1,6.3103830230737375e-18
CU-EAKFC_SEIRS,hhs7,1,0.012260437047680829
ReichLab-KDE,hhs7,1,2.471436638104938e-75
ReichLab-SARIMA1,hhs7,1,5.434631008755112e-06
Delphi-BasisRegression,hhs7,1,4.9515121222215765e-20
Delphi-DeltaDensity1,hhs7,1,0.45405011075740265
CU-RHF_SIRS,hhs7,1,0.012260437047680829
CU-EAKFC_SIRS,hhs7,1,0.012260437047680829
Delphi-Uniform,hhs7,1,6.914317150620048e-249
ReichLab-SARIMA2,hhs7,1,0.006082069669930414
Delphi-Stat,hhs7,1,4.903953274882198e-09
Delphi-EmpiricalBayes1,hhs7,1,2.1839524744258305e-17
Delphi-EmpiricalFuture,hhs7,1,1.5901028047359193e-123
Delphi-EmpiricalBayes2,hhs7,1,0.04313275750050056
ReichLab-KCDE,hhs7,1,0.4231023407229046
LANL-DBM,hhs7,1,2.6299941064577324e-44
CU-RHF_SEIRS,hhs7,1,0.012260437047680829
Delphi-EmpiricalTraj,hhs7,1,1.5901028047359193e-123
CU-EKF_SEIRS,hhs8,1,0.03402388007920913
CU-EKF_SIRS,hhs8,1,0.03402388007920913
Delphi-DeltaDensity2,hhs8,1,0.023784021800882217
CU-BMA,hhs8,1,5.415752626618768e-37
CU-EAKFC_SEIRS,hhs8,1,0.03402388007920913
ReichLab-KDE,hhs8,1,5.4221484141265955e-65
ReichLab-SARIMA1,hhs8,1,6.75193106987405e-27
Delphi-BasisRegression,hhs8,1,0.16468587189416392
Delphi-DeltaDensity1,hhs8,1,0.6073048703335284
CU-RHF_SIRS,hhs8,1,0.03402388007920913
CU-EAKFC_SIRS,hhs8,1,0.03402388007920913
Delphi-Uniform,hhs8,1,2.124405992374185e-221
ReichLab-SARIMA2,hhs8,1,2.3806279746423783e-20
Delphi-Stat,hhs8,1,6.71468321541428e-07
Delphi-EmpiricalBayes1,hhs8,1,6.342007137605868e-12
Delphi-EmpiricalFuture,hhs8,1,4.664899612427221e-84
Delphi-EmpiricalBayes2,hhs8,1,3.05760285910573e-56
ReichLab-KCDE,hhs8,1,8.128402150706272e-05
LANL-DBM,hhs8,1,1.918266799603491e-34
CU-RHF_SEIRS,hhs8,1,0.03402388007920913
Delphi-EmpiricalTraj,hhs8,1,4.664899612427221e-84
CU-EKF_SEIRS,hhs9,1,0.05475025186473482
CU-EKF_SIRS,hhs9,1,0.05475025186473482
Delphi-DeltaDensity2,hhs9,1,3.0644700195533524e-07
CU-BMA,hhs9,1,0.0679253229343206
CU-EAKFC_SEIRS,hhs9,1,0.05475025186473482
ReichLab-KDE,hhs9,1,1.2947645682989005e-25
ReichLab-SARIMA1,hhs9,1,4.430175065608226e-23
Delphi-BasisRegression,hhs9,1,0.5602844392940429
Delphi-DeltaDensity1,hhs9,1,5.755736440060385e-42
CU-RHF_SIRS,hhs9,1,0.05475025186473482
CU-EAKFC_SIRS,hhs9,1,0.05475025186473482
Delphi-Uniform,hhs9,1,4.7380794235530825e-107
ReichLab-SARIMA2,hhs9,1,2.883334611538208e-05
Delphi-Stat,hhs9,1,1.8152875353030463e-24
Delphi-EmpiricalBayes1,hhs9,1,0.003140237751770002
Delphi-EmpiricalFuture,hhs9,1,4.708566421311065e-37
Delphi-EmpiricalBayes2,hhs9,1,0.04011928868951379
ReichLab-KCDE,hhs9,1,1.2906215306824675e-09
LANL-DBM,hhs9,1,5.90582054196121e-08
CU-RHF_SEIRS,hhs9,1,0.05475025186473482
Delphi-EmpiricalTraj,hhs9,1,4.708566421311065e-37
CU-EKF_SEIRS,hhs10,1,0.010937197528846495
CU-EKF_SIRS,hhs10,1,0.010937197528846495
Delphi-DeltaDensity2,hhs10,1,0.0019015074861827188
CU-BMA,hhs10,1,7.324665855743287e-06
CU-EAKFC_SEIRS,hhs10,1,0.010937197528846495
ReichLab-KDE,hhs10,1,2.9963933890709684e-105
ReichLab-SARIMA1,hhs10,1,0.6345918887474891
Delphi-BasisRegression,hhs10,1,1.7173466265762337e-21
Delphi-DeltaDensity1,hhs10,1,0.001581075759301947
CU-RHF_SIRS,hhs10,1,0.010937197528846495
CU-EAKFC_SIRS,hhs10,1,0.010937197528846495
Delphi-Uniform,hhs10,1,0.0
ReichLab-SARIMA2,hhs10,1,0.0633138165809731
Delphi-Stat,hhs10,1,6.722746922097014e-19
Delphi-EmpiricalBayes1,hhs10,1,0.23298119931382183
Delphi-EmpiricalFuture,hhs10,1,1.9090869417881397e-233
Delphi-EmpiricalBayes2,hhs10,1,3.159460089902862e-30
ReichLab-KCDE,hhs10,1,2.2732966759277916e-09
LANL-DBM,hhs10,1,1.8483224809640973e-59
CU-RHF_SEIRS,hhs10,1,0.010937197528846495
Delphi-EmpiricalTraj,hhs10,1,1.9090869417881397e-233
CU-EKF_SEIRS,all,1,0.04795200188406991
CU-EKF_SIRS,all,1,0.04795200188406991
Delphi-DeltaDensity2,all,1,0.030816558521002353
CU-BMA,all,1,1.5746080805513507e-07
CU-EAKFC_SEIRS,all,1,0.04795200188406991
ReichLab-KDE,all,1,6.8956643093305695e-46
ReichLab-SARIMA1,all,1,3.1650973638376174e-07
Delphi-BasisRegression,all,1,0.09126848133253726
Delphi-DeltaDensity1,all,1,0.2245561139630147
CU-RHF_SIRS,all,1,0.04795200188406991
CU-EAKFC_SIRS,all,1,0.04795200188406991
Delphi-Uniform,all,1,1.705704612272692e-144
ReichLab-SARIMA2,all,1,0.008334154784596435
Delphi-Stat,all,1,2.12801129914794e-05
Delphi-EmpiricalBayes1,all,1,0.04837306798301057
Delphi-EmpiricalFuture,all,1,7.722097897284964e-69
Delphi-EmpiricalBayes2,all,1,1.9808390134560898e-10
ReichLab-KCDE,all,1,0.3089178578297912
LANL-DBM,all,1,8.625240387320275e-15
CU-RHF_SEIRS,all,1,0.04795200188406991
Delphi-EmpiricalTraj,all,1,7.722097897284964e-69
CU-EKF_SEIRS,nat,2,0.00900742422492864
CU-EKF_SIRS,nat,2,0.029487830579480255
Delphi-DeltaDensity2,nat,2,1.3776626520606824e-62
CU-BMA,nat,2,3.892089647389274e-46
CU-EAKFC_SEIRS,nat,2,0.08130860550450095
ReichLab-KDE,nat,2,1.6245561056571585e-75
ReichLab-SARIMA1,nat,2,5.106143943120359e-09
Delphi-BasisRegression,nat,2,0.06996670978507534
Delphi-DeltaDensity1,nat,2,0.24440834479931822
CU-RHF_SIRS,nat,2,0.03265740414011401
CU-EAKFC_SIRS,nat,2,4.557471207284563e-09
Delphi-Uniform,nat,2,0.0
ReichLab-SARIMA2,nat,2,0.40178118749296904
Delphi-Stat,nat,2,3.4580049161673334e-23
Delphi-EmpiricalBayes1,nat,2,2.645828000541232e-21
Delphi-EmpiricalFuture,nat,2,8.965586573287445e-178
Delphi-EmpiricalBayes2,nat,2,4.05890767503886e-87
ReichLab-KCDE,nat,2,0.12469089789996399
LANL-DBM,nat,2,5.3941693460214534e-11
CU-RHF_SEIRS,nat,2,0.006691585856092835
Delphi-EmpiricalTraj,nat,2,8.965586573287445e-178
