region,season,baseline
hhs10,2008,3.5
nat,2009,2.3
hhs1,2009,1.2
hhs2,2009,2.3
hhs3,2009,3.0
hhs4,2009,2.0
hhs5,2009,1.7
hhs6,2009,4.8
hhs7,2009,1.9
hhs8,2009,1.3
hhs9,2009,2.8
hhs10,2009,3.3
nat,2010,2.5
hhs1,2010,1.4
hhs2,2010,2.4
hhs3,2010,2.6
hhs4,2010,2.3
hhs5,2010,1.8
hhs6,2010,4.9
hhs7,2010,2.3
hhs8,2010,1.7
hhs9,2010,4.1
hhs10,2010,2.2
nat,2011,2.4
hhs1,2011,1.1
hhs2,2011,2.5
hhs3,2011,2.5
hhs4,2011,2.3
hhs5,2011,1.6
hhs6,2011,4.3
hhs7,2011,2.3
hhs8,2011,2.1
hhs9,2011,3.9
hhs10,2011,2.2
nat,2012,2.2
hhs1,2012,1.0
hhs2,2012,2.0
hhs3,2012,2.2
hhs4,2012,2.3
hhs5,2012,1.5
hhs6,2012,3.4
hhs7,2012,2.1
hhs8,2012,1.9
hhs9,2012,3.5
hhs10,2012,1.4
nat,2013,2.0
hhs1,2013,1.2
hhs2,2013,2.2
hhs3,2013,2.0
hhs4,2013,1.9
hhs5,2013,1.6
hhs6,2013,2.9
hhs7,2013,1.8
hhs8,2013,1.3
hhs9,2013,2.9
hhs10,2013,1.3
nat,2014,2.0
hhs1,2014,1.2
hhs2,2014,2.3
hhs3,2014,2.0
hhs4,2014,1.9
hhs5,2014,1.7
hhs6,2014,3.2
hhs7,2014,1.7
hhs8,2014,1.3
hhs9,2014,2.7
hhs10,2014,1.1
nat,2015,2.1
hhs1,2015,1.3
hhs2,2015,2.3
hhs3,2015,1.8
hhs4,2015,1.6
hhs5,2015,1.9
hhs6,2015,3.6
hhs7,2015,1.7
hhs8,2015,1.4
hhs9,2015,2.6
hhs10,2015,1.1
nat,2016,2.2
hhs1,2016,1.4
hhs2,2016,3.0
hhs3,2016,2.2
hhs4,2016,1.7
hhs5,2016,1.9
hhs6,2016,4.1
hhs7,2016,1.8
hhs8,2016,1.4
hhs9,2016,2.5
hhs10,2016,1.1
nat,2017,2.2
hhs1,2017,1.4
hhs2,2017,3.1
hhs3,2017,2.0
hhs4,2017,1.9
hhs5,2017,1.8
hhs6,2017,4.2
hhs7,2017,1.9
hhs8,2017,1.3
hhs9,2017,2.4
hhs10,2017,1.4
