region,season,baseline
nat,1990,2.2
hhs1,1990,1.4
hhs2,1990,3.0
hhs3,1990,3.6
hhs4,1990,1.8
hhs5,1990,2.6
hhs6,1990,4.1
hhs7,1990,1.9
hhs8,1990,1.6
hhs9,1990,3.4
hhs10,1990,3.3
nat,1991,2.2
hhs1,1991,1.4
hhs2,1991,3.0
hhs3,1991,3.6
hhs4,1991,1.8
hhs5,1991,2.6
hhs6,1991,4.1
hhs7,1991,1.9
hhs8,1991,1.6
hhs9,1991,3.4
hhs10,1991,3.3
nat,1992,2.2
hhs1,1992,1.4
hhs2,1992,3.0
hhs3,1992,3.6
hhs4,1992,1.8
hhs5,1992,2.6
hhs6,1992,4.1
hhs7,1992,1.9
hhs8,1992,1.6
hhs9,1992,3.4
hhs10,1992,3.3
nat,1993,2.2
hhs1,1993,1.4
hhs2,1993,3.0
hhs3,1993,3.6
hhs4,1993,1.8
hhs5,1993,2.6
hhs6,1993,4.1
hhs7,1993,1.9
hhs8,1993,1.6
hhs9,1993,3.4
hhs10,1993,3.3
nat,1994,2.2
hhs1,1994,1.4
hhs2,1994,3.0
hhs3,1994,3.6
hhs4,1994,1.8
hhs5,1994,2.6
hhs6,1994,4.1
hhs7,1994,1.9
hhs8,1994,1.6
hhs9,1994,3.4
hhs10,1994,3.3
nat,1995,2.2
hhs1,1995,1.4
hhs2,1995,3.0
hhs3,1995,3.6
hhs4,1995,1.8
hhs5,1995,2.6
hhs6,1995,4.1
hhs7,1995,1.9
hhs8,1995,1.6
hhs9,1995,3.4
hhs10,1995,3.3
nat,1996,2.2
hhs1,1996,1.4
hhs2,1996,3.0
hhs3,1996,3.6
hhs4,1996,1.8
hhs5,1996,2.6
hhs6,1996,4.1
hhs7,1996,1.9
hhs8,1996,1.6
hhs9,1996,3.4
hhs10,1996,3.3
nat,1997,2.2
hhs1,1997,1.4
hhs2,1997,3.0
hhs3,1997,3.6
hhs4,1997,1.8
hhs5,1997,2.6
hhs6,1997,4.1
hhs7,1997,1.9
hhs8,1997,1.6
hhs9,1997,3.4
hhs10,1997,3.3
nat,1998,2.2
hhs1,1998,1.4
hhs2,1998,3.0
hhs3,1998,3.6
hhs4,1998,1.8
hhs5,1998,2.6
hhs6,1998,4.1
hhs7,1998,1.9
hhs8,1998,1.6
hhs9,1998,3.4
hhs10,1998,3.3
nat,1999,2.2
hhs1,1999,1.4
hhs2,1999,3.0
hhs3,1999,3.6
hhs4,1999,1.8
hhs5,1999,2.6
hhs6,1999,4.1
hhs7,1999,1.9
hhs8,1999,1.6
hhs9,1999,3.4
hhs10,1999,3.3
nat,2000,2.2
hhs1,2000,1.4
hhs2,2000,3.0
hhs3,2000,3.6
hhs4,2000,1.8
hhs5,2000,2.6
hhs6,2000,4.1
hhs7,2000,1.9
hhs8,2000,1.6
hhs9,2000,3.4
hhs10,2000,3.3
nat,2001,2.2
hhs1,2001,1.4
hhs2,2001,3.0
hhs3,2001,3.6
hhs4,2001,1.8
hhs5,2001,2.6
hhs6,2001,4.1
hhs7,2001,1.9
hhs8,2001,1.6
hhs9,2001,3.4
hhs10,2001,3.3
nat,2002,2.2
hhs1,2002,1.4
hhs2,2002,3.0
hhs3,2002,3.6
hhs4,2002,1.8
hhs5,2002,2.6
hhs6,2002,4.1
hhs7,2002,1.9
hhs8,2002,1.6
hhs9,2002,3.4
hhs10,2002,3.3
nat,2003,2.2
hhs1,2003,1.4
hhs2,2003,3.0
hhs3,2003,3.6
hhs4,2003,1.8
hhs5,2003,2.6
hhs6,2003,4.1
hhs7,2003,1.9
hhs8,2003,1.6
hhs9,2003,3.4
hhs10,2003,3.3
nat,2004,2.2
hhs1,2004,1.4
hhs2,2004,3.0
hhs3,2004,3.6
hhs4,2004,1.8
hhs5,2004,2.6
hhs6,2004,4.1
hhs7,2004,1.9
hhs8,2004,1.6
hhs9,2004,3.4
hhs10,2004,3.3
nat,2005,2.2
hhs1,2005,1.4
hhs2,2005,3.0
hhs3,2005,3.6
hhs4,2005,1.8
hhs5,2005,2.6
hhs6,2005,4.1
hhs7,2005,1.9
hhs8,2005,1.6
hhs9,2005,3.4
hhs10,2005,3.3
nat,2006,2.2
hhs1,2006,1.4
hhs2,2006,3.0
hhs3,2006,3.6
hhs4,2006,1.8
hhs5,2006,2.6
hhs6,2006,4.1
hhs7,2006,1.9
hhs8,2006,1.6
hhs9,2006,3.4
hhs10,2006,3.3
nat,2007,2.2
hhs1,2007,1.4
hhs2,2007,3.0
hhs3,2007,3.6
hhs4,2007,1.8
hhs5,2007,2.6
hhs6,2007,4.1
hhs7,2007,1.9
hhs8,2007,1.6
hhs9,2007,3.4
hhs10,2007,3.3
nat,2008,2.4
hhs1,2008,1.5
hhs2,2008,2.9
hhs3,2008,3.5
hhs4,2008,2.0
hhs5,2008,1.9
hhs6,2008,4.6
hhs7,2008,1.8
hhs8,2008,1.5
hhs9,2008,2.7
