model,weight
CU-EKF_SEIRS,0.047619047619047616
CU-EKF_SIRS,0.047619047619047616
Delphi-DeltaDensity2,0.047619047619047616
CU-BMA,0.047619047619047616
CU-EAKFC_SEIRS,0.047619047619047616
ReichLab-KDE,0.047619047619047616
ReichLab-SARIMA1,0.047619047619047616
Delphi-BasisRegression,0.047619047619047616
Delphi-DeltaDensity1,0.047619047619047616
CU-RHF_SIRS,0.047619047619047616
CU-EAKFC_SIRS,0.047619047619047616
Delphi-Uniform,0.047619047619047616
ReichLab-SARIMA2,0.047619047619047616
Delphi-Stat,0.047619047619047616
Delphi-EmpiricalBayes1,0.047619047619047616
Delphi-EmpiricalFuture,0.047619047619047616
Delphi-EmpiricalBayes2,0.047619047619047616
ReichLab-KCDE,0.047619047619047616
LANL-DBM,0.047619047619047616
CU-RHF_SEIRS,0.047619047619047616
Delphi-EmpiricalTraj,0.047619047619047616
