region,score
nat,4.0187967639220386
hhs1,4.1926712864323665
hhs2,4.510487945456254
hhs3,4.118140300637798
hhs4,4.321701989362114
hhs5,4.396310716867447
hhs6,4.9597076459934835
hhs7,4.685376932746486
hhs8,4.294310889746013
hhs9,4.098051154299786
hhs10,3.992245260037874
all,4.326163716863787
